   1 	     4.9478 
   2 	     7.5803 
   3 	    10.3573 
   4 	    13.0312 
   5 	    15.7797 
   6 	    18.5657 
   7 	    21.2223 
   8 	    23.9440 
   9 	    26.7331 
  10 	    29.3926 
  11 	    32.0501 
  12 	    34.7622 
  13 	    37.4932 
  14 	    40.2895 
  15 	    42.9685 
  16 	    45.7120 
  17 	    48.3639 
  18 	    51.0622 
  19 	    53.8732 
  20 	    56.5256 
  21 	    59.3277 
  22 	    62.0579 
  23 	    64.7748 
  24 	    67.4701 
  25 	    70.2109 
  26 	    72.9350 
  27 	    75.6593 
